Species Name,URL,Scraped Content
Acanthochromis_polyacanthus,https://www.fishbase.de/summary/Acanthochromis-polyacanthus.html,"Classification / Names : Teleostei (teleosts) > Ovalentaria/misc (Various families in series Ovalentaria) > Pomacentridae (Damselfishes) > Pomacentrinae Etymology: Acanthochromis: Greek, akantha = thorn + Greek, chromis = a marine fish without identification, dealing with perch; cited by Plinius (Ref. 45335 ) . More on author: Bleeker .


Environment: milieu / climate zone / depth range / distribution range : Marine; reef-associated; non-migratory; depth range 1 - 65 m (Ref. 9710 ), usually 4 - 20 m (Ref. 90102 ). Tropical; 15°N - 26°S, 116°E - 169°E (Ref. 56301 )


Distribution : Western Pacific: Indonesia and the Philippines to northeastern Australia and Melanesia.


Size / Weight / Age : Maturity: L m ? range ? - ? cm Max length : 16.0 cm TL male/unsexed; (Ref. 129178 )


Short description : Dorsal spines (total): 17; Dorsal soft rays (total): 14 - 16; Anal spines : 2; Anal soft rays : 14 - 16. Body shape ( shape guide ): short and / or deep; Cross section: compressed.


Biology : No content found after this title.


Life cycle and mating behavior : Oviparous, distinct pairing during breeding (Ref. 205 ). Monogamous mating is observed as both obligate and genetic (Ref. 52884 ). Eggs are demersal and adhere to the substrate (Ref. 205 ). Males guard and aerate the eggs (Ref. 205 ). Does not have a juvenile bisexual phase and all males have the typical testicular morphology of gonochores (Ref. 103751 ).
"
Acanthochaenus_luetkenii,https://www.fishbase.de/summary/Acanthochaenus-luetkenii.html,"Classification / Names : Teleostei (teleosts) > Beryciformes (Sawbellies) > Stephanoberycidae (Pricklefishes) Etymology: Acanthochaenus: Greek, akantha = thorn + Greek, chaino = with the mouth opened (Ref. 45335 ) . Eponymy: Professor Christian Frederik Lütken (1827–1901) was a Danish naturalist, specialising in marine zoology. [...] (Ref. 128868 ), visit book page . More on author: Gill .


Environment: milieu / climate zone / depth range / distribution range : Marine; benthopelagic; depth range 1655 - 5397 m (Ref. 58018 ). Deep-water; 40°N - 57°S, 77°W - 164°W


Distribution : Atlantic, Indian and Pacific: in subtropical and temperate waters (Ref. 50895 ). In the Indian Ocean known localities include the Madagascar Ridge (Ref. 51654 ) and the West Australian Ridge, Naturalist Plateau.


Length at first maturity / Size / Weight / Age : Maturity: L m ? , range 12 - ? cm Max length : 15.2 cm TL male/unsexed; (Ref. 41039 )


Short description : Dorsal spines (total): 0; Dorsal soft rays (total): 11; Anal spines : 1; Anal soft rays : 9 - 10. Body scales are spiny (Ref. 37108 ). Body elongated, almost cylindrical, somewhat compressed (Ref. 10920 ). The snout protrudes forward above upper jaw, its length 3.4-4.4 times in head length, eyes fairly small, upper jaw extends beyond the posterior border of the eye. Dorsal and anal fins are opposite one another (Ref. 10920 ). Body shape ( shape guide ): fusiform / normal.


Biology : No content found after this title.


Life cycle and mating behavior : 
"
Acanthopagrus_bifasciatus,https://www.fishbase.se/summary/Acanthopagrus-schlegelii.html,"Classification / Names : Teleostei (teleosts) > Eupercaria/misc (Various families in series Eupercaria) > Sparidae (Porgies) Etymology: Acanthopagrus: Greek, akantha = thorn + Greek, pagros, a kind of fish (Ref. 45335 ) . Eponymy: Hermann Schlegel (1804–1884) was a German-born zoologist who spent much of his life in the Netherlands. [...] (Ref. 128868 ), visit book page . More on author: Bleeker .


Environment: milieu / climate zone / depth range / distribution range : Marine; brackish; demersal; depth range 15 - ? m. Subtropical; 43°N - 20°N, 107°W - 143°W


Distribution : Northwest Pacific: southern Hokkaido, Japan to the southern Korean Peninsula, middle and north coast of the Republic of China and Taiwan. Not occurring in the Ryukyu Islands.


Length at first maturity / Size / Weight / Age : Maturity: L m 29.1 , range 10 - ? cm Max length : 50.0 cm SL male/unsexed; (Ref. 559 ); max. published weight: 3.2 kg (Ref. 40637 )


Short description : Dorsal spines (total): 11 - 12; Dorsal soft rays (total): 11; Anal spines : 3; Anal soft rays : 8. Body shape ( shape guide ): short and / or deep.


Biology : No content found after this title.


Life cycle and mating behavior : Sex change occurs at about 5 years of age (Ref. 36558 ).
"
Acanthopagrus_schlegelii,https://www.fishbase.se/summary/Acanthopagrus-schlegelii.html,"Classification / Names : Teleostei (teleosts) > Eupercaria/misc (Various families in series Eupercaria) > Sparidae (Porgies) Etymology: Acanthopagrus: Greek, akantha = thorn + Greek, pagros, a kind of fish (Ref. 45335 ) . Eponymy: Hermann Schlegel (1804–1884) was a German-born zoologist who spent much of his life in the Netherlands. [...] (Ref. 128868 ), visit book page . More on author: Bleeker .


Environment: milieu / climate zone / depth range / distribution range : Marine; brackish; demersal; depth range 15 - ? m. Subtropical; 43°N - 20°N, 107°W - 143°W


Distribution : Northwest Pacific: southern Hokkaido, Japan to the southern Korean Peninsula, middle and north coast of the Republic of China and Taiwan. Not occurring in the Ryukyu Islands.


Length at first maturity / Size / Weight / Age : Maturity: L m 29.1 , range 10 - ? cm Max length : 50.0 cm SL male/unsexed; (Ref. 559 ); max. published weight: 3.2 kg (Ref. 40637 )


Short description : Dorsal spines (total): 11 - 12; Dorsal soft rays (total): 11; Anal spines : 3; Anal soft rays : 8. Body shape ( shape guide ): short and / or deep.


Biology : No content found after this title.


Life cycle and mating behavior : Sex change occurs at about 5 years of age (Ref. 36558 ).
"
Acentrogobius_pflaumii,https://www.fishbase.se/summary/Acentrogobius-pflaumii.html,"Classification / Names : Teleostei (teleosts) > Gobiiformes (Gobies) > Gobiidae (Gobies) > Gobiinae Etymology: Acentrogobius: Greek, a = without + Greek, kentron = sting + Latin gobius = gudgeon (Ref. 45335 ) . Eponymy: Dr A K J L W Pflaum was a Surgeon Major in the Royal Dutch East Indies Army who had been stationed at Samarang, Celebes (Sulawesi). He provided Pieter Bleeker with the type specimen of the goby. (Ref. 128868 ), visit book page . More on author: Bleeker .


Environment: milieu / climate zone / depth range / distribution range : Marine; brackish; demersal. Subtropical


Distribution : Northwest Pacific: Russia (Ref. 26334 ) to Taiwan (Ref. 12711 ).


Length at first maturity / Size / Weight / Age : Maturity: L m 8.9 range ? - ? cm Max length : 12.0 cm TL male/unsexed; (Ref. 56557 )


Biology : No content found after this title.


Life cycle and mating behavior : 
"
Acroteriobatus_annulatus,https://www.fishbase.de/summary/Acroteriobatus-annulatus.html,"Classification / Names : Elasmobranchii (sharks and rays) > Rhinopristiformes (Shovelnose rays) > Rhinobatidae (Guitarfishes)


Environment: milieu / climate zone / depth range / distribution range : Marine; brackish; demersal; depth range 75 - ? m (Ref. 114953 ). Subtropical; 17°S - 36°S, 10°E - 34°E (Ref. 114953 )


Distribution : Southeast Atlantic to West Indian Ocean: Angola to South Africa and southern Mozambique.


Size / Weight / Age : Maturity: L m ? range ? - ? cm Max length : 140 cm TL male/unsexed; (Ref. 3919 )


Biology : No content found after this title.


Life cycle and mating behavior : Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449 ). 2-10 young born in the summer (Ref. 5578 ).
"
Aetomylaeus_bovinus,https://www.fishbase.de/summary/Aetomylaeus-bovinus.html,"Classification / Names : Elasmobranchii (sharks and rays) > Myliobatiformes (Stingrays) > Myliobatidae (Eagle and manta rays) Etymology: Aetomylaeus: Greek, aetos = eagle + Greek, mylio = mill, grinder (Ref. 45335 ) .


Environment: milieu / climate zone / depth range / distribution range : Marine; brackish; benthopelagic; depth range 10 - 150 m (Ref. 6808 ). Subtropical; 44°N - 35°S, 19°W - 36°E


Distribution : Eastern Atlantic: Portugal and Morocco to Angola, including the Mediterranean, Madeira and the Canary Islands; then from Saldanha Bay to Natal (South Africa) and southern Mozambique (Ref. 5578 ).


Length at first maturity / Size / Weight / Age : Maturity: L m 90.0 , range 35 - 148 cm Max length : 222.0 cm WD (female); common length : 150 cm WD male/unsexed; (Ref. 57025 ); max. published weight: 116.0 kg (Ref. 85836 )


Short description : Long, flat, rounded snout like a duck's bill; head thick and pectoral disc with sharply curved, angular corners; upper or lower jaw; usually with 7 rows of flat teeth (Ref. 5578 ). Light brown with several pale blue-grey stripes (may be absent) dorsally, white ventrally (Ref. 5578 ). Body shape ( shape guide ): other.


Biology : No content found after this title.


Life cycle and mating behavior : Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449 ). Gestation about 6 months; 3-7 young produced (Ref. 5578 ). Size at birth 45 cm WD (Ref. 6677 ).
"
Acipenser_dabryanus,https://www.fishbase.se/summary/Acipenser-dabryanus.html,"Classification / Names : Chondrostei (sturgeons) > Acipenseriformes (Sturgeons and paddlefishes) > Acipenseridae (Sturgeons) > Acipenserinae Etymology: Acipenser: Latin, acipenser = sturgeon, 1853 (Ref. 45335 ) . Eponymy: Claude-Philibert Dabry de Thiersant (1826–1898) was French consul at Hankow (one of the three cities whose merging formed modern-day Wuhan, China) and an amateur naturalist. [...] (Ref. 128868 ), visit book page . More on author: Duméril .


Environment: milieu / climate zone / depth range / distribution range : Freshwater; demersal; anadromous (Ref. 51243 ), usually 8 - 10 m (Ref. 93286 ). Temperate


Distribution : Asia: China in Yangtze River system (Ref. 4537 ) and Korea (Ref. 12218 ). Endangered, close to extinction (Ref. 6866 ).


Length at first maturity / Size / Weight / Age : Maturity: L m 106.0 range ? - ? cm Max length : 250 cm TL male/unsexed; (Ref. 38401 ); common length : 31.8 cm SL male/unsexed; (Ref. 35840 )


Short description : Dorsal spines (total): 0; Dorsal soft rays (total): 40 - 49; Anal spines : 0; Anal soft rays : 27 - 30. Snout short and pointed; lips with small papilla; barbels 2 pairs and situated in belly of snout; body covered with 5 rows of ganoid scales and skin between scales rough (Ref. 45563 ). Body shape ( shape guide ): elongated.


Biology : No content found after this title.


Life cycle and mating behavior : 
"
Acanthopagrus_butcheri,https://www.fishbase.se/summary/Acanthopagrus-butcheri.html,"Classification / Names : Teleostei (teleosts) > Eupercaria/misc (Various families in series Eupercaria) > Sparidae (Porgies) Etymology: Acanthopagrus: Greek, akantha = thorn + Greek, pagros, a kind of fish (Ref. 45335 ) . Eponymy: Alfred Dunbavin Butcher (1915–1990) was an Australian zoologist. [...] (Ref. 128868 ), visit book page .


Environment: milieu / climate zone / depth range / distribution range : Marine; freshwater; brackish; demersal. Subtropical; 23°S - 44°S, 112°E - 154°E


Distribution : Indo-Pacific: endemic to southern Australia.


Length at first maturity / Size / Weight / Age : Maturity: L m ? , range 16 - ? cm Max length : 60.0 cm TL male/unsexed; (Ref. 2156 ); common length : 24.0 cm TL male/unsexed; (Ref. 2156 ); max. published weight: 4.0 kg (Ref. 26523 ); max. reported age: 29 years (Ref. 36820 )


Short description : Dorsal spines (total): 10 - 13; Dorsal soft rays (total): 10 - 13; Anal spines : 3; Anal soft rays : 8 - 10. The upper body can vary from silvery to golden brown, bronze, green or black depending on habitat. Chin and belly are usually white and fins are dusky to greenish black. Dorsal and ventral profiles of adults are similarly convex. Body shape ( shape guide ): fusiform / normal; Cross section: compressed.


Biology : No content found after this title.


Life cycle and mating behavior : It is not known whether there is any sex inversion in black bream (Ref. 6390 ).
"
Acipenser_oxyrinchus,https://www.fishbase.se/summary/Acipenser-oxyrinchus+desotoi.html,"Classification / Names : Chondrostei (sturgeons) > Acipenseriformes (Sturgeons and paddlefishes) > Acipenseridae (Sturgeons) > Acipenserinae Etymology: Acipenser: Latin, acipenser = sturgeon, 1853 (Ref. 45335 ) . More on author: Mitchill .


Environment: milieu / climate zone / depth range / distribution range : Marine; freshwater; brackish; demersal; anadromous (Ref. 51243 ); depth range 1 - 46 m (Ref. 4639 ). Subtropical; 56°N - 10°S, 102°W - 33°W (Ref. 54265 )


Distribution : Western Atlantic: Hamilton River, Labrador, Newfoundland, Canada to northeastern Florida, USA. Occurs occasionally in Bermuda and French Guiana (Ref. 7251 ). Northern Gulf of Mexico (Ref. 26938 ). In Europe: Baltic Sea. Landlocked populations in Lakes Ladoga and Onega (Russia), both now extirpated. Occasionally recorded from Great Britain and North Sea in Elbe drainage (Ref. 59043 ). Recent research revealed that this species existed in the Baltic Sea, but is now extirpated (Ref. 83384 , 83385 ). Near threatened globally, but extirpated in Europe (Ref. 59043 ).


Length at first maturity / Size / Weight / Age : Maturity: L m 201.7 , range 183 - 243.8 cm Max length : 403 cm TL male/unsexed; (Ref. 26938 ); 430.0 cm TL (female); common length :250 cm TL (female); max. published weight: 0.00 g; max. reported age: 60 years (Ref. 39404 )


Short description : Dorsal spines (total): 0; Dorsal soft rays (total): 30 - 46; Anal spines : 0; Anal soft rays : 22 - 32. Elongate fish, pentagonal in cross section and shark-like fins (Ref. 26938 ). Double row of pre anal shields. Presence of a soft fontanelle. Bony shields are oval. Carina on dorsal shields do not have a conspicuous hook. Head and back bluish-black and lower surface whitish (Ref. 37032 ). Snout long, sharply V-shaped. 2 pairs of short, slender barbels in transverse line midway between end of snout and anterior edge of mouth (Ref. 4639 ). Viscera pale (Ref. 7251 ). Presence of 4 small scutes, usually as 2 pairs between anal fin and caudal fulcrum (Ref. 86798 ). Body shape ( shape guide ): elongated; Cross section: angular.


Biology : No content found after this title.


Life cycle and mating behavior : Matures at increasing ages with increasing latitude (Ref. 88171 ). Both sexes do not spawn yearly and spawning intervals may vary according to area. In the St. Lawrence River, males spawn every 1-5 years, females every 3-5 years (Ref. 89103 ). Adults from the sea begin to ascend the lower reaches of large rivers in spring with the majority ascending immediately prior to spawning. Spawning occurs between March and August (Ref. 59043 ), when water temperature is 13.3-17.8 °C (Ref. 89118 ). Spawning occurs over bedrock, boulders or gravel bottoms, in depths exceeding 10 m at current velocities of 0.5-0.8 m/s (Ref. 59043 , 89103 ). Exact time of spawning depends on temperature (Ref. 26938 ). Per female 0.4-8 million eggs may be spawned (Ref. 45706 , 84845 , 89137 ). Eggs demersal, sticking to stones, measuring 2.55 mm in diameter and hatching in 1 week at 17.8 °C (Ref. 4639 , 9980 ). Adults return to the sea after spawning (Ref. 59043 ). Sturgeons in general have a high capacity for hybridization and most species are able to cross-breed (Ref. 89103 , 89117 ).
"
